date,harvest_yield,nitrogen,co2,organic_matter,ph_level,phosphorus,potassium
2024-01-15,186.5,180,305,220,6.8,45,280
2024-01-20,195.2,175,298,235,6.9,48,275
2024-02-01,210.8,185,312,240,7.0,50,285
2024-02-15,189.3,170,295,225,6.7,42,270
2024-03-01,237.4,190,320,250,7.1,52,290
2024-03-15,198.7,165,288,210,6.6,40,265
2024-04-01,173.2,160,275,200,6.5,38,260
2024-04-15,156.8,155,270,195,6.4,35,255
2024-05-01,209.1,195,325,255,7.2,55,295
2024-05-15,214.6,200,330,260,7.3,58,300
2024-06-01,224.3,205,335,265,7.4,60,305
2024-06-15,218.9,198,328,258,7.2,56,298
2024-07-01,245.7,210,340,270,7.5,62,310
2024-07-15,252.3,215,345,275,7.6,65,315
2024-08-01,239.8,208,338,268,7.4,61,308
